sep=,
ID,Text,Translation,VoiceActor,Context
150305559142,500 Патронов 7.62х54 ЛПС,,,ModItemBanterDef Stall_762x54LPS_500 Text
625711628464,50 патронов 9х18,,,ModItemBanterDef Stall_9x18 Text
851058546860,Горсть патронов 7.62х39,,,ModItemBanterDef Stall_Random_762WPrandom_Parts Text
328039583231,Горсть патронов 12 калибра,,,ModItemBanterDef Stall_Random_12Gauge Text
803201721899,Type 56 со штыком,,,ModItemBanterDef Stall_Type56_2k Text
886718945352,Автоматический Пистолет Стечкина,,,ModItemBanterDef Stall_APS_Tiny_Diamond Text
968254389377,Патроны 7.62х25мм,,,ModItemBanterDef Stall_Barter_762x25_Knife Text
619128627841,Патроны 7.62x39 ПС (Армейские),,,ModItemBanterDef Stall_Barter_762x39PS Text
620219516865,Ландсбах,,,
442516764606,Шахта «Драхенберг»,,,
323466597390,«Дизельклиника»,,,
854571918784,Станция метро А,,,
308950187945,Лагерь на холме,,,
425893484624,Военный аванпост - Горный,,,
351600997529,Горы,,,
851646053486,Горы,,,
495513640483,Даймонд-Ред,,,
111536912824,Орлиное гнездо,,,
263718848685,Нигде,,,
468290459033,Пещера в саванне,,,
535901703196,Пустоши,,,
982737667772,Горы,,,
826339210077,Вершина скалы,,,
620660665480,Перекресток Дохлых Зверей,,,
760941588357,Пустоши,,,
641955441671,Пустоши,,,
468361198430,Старая бензоколонка,,,
849469414167,Горы,,,
278429472343,Пит-стоп,,,
105841267978,Побережье саванны,,,
776271330418,Чаячий остров,,,
743091327405,Остров Штурмвассер,,,
685901275490,Разлом,,,
861144476559,Штурмвассерский каньон,,,
367207549789,Пещера Халявщика,,,
299254523561,Каменные ступени,,,
282257107633,Оазис,,,
929083374712,Кам-Гран-При,,,
722143668182,Горы,,,
510202168289,Горы,,,
870033354295,Горы,,,
816330931329,Фосс-Нуар,,,
394862111109,Саванна,,,
563315434102,Лагерь браконьеров,,,
547505775524,Саванна,,,
851181592647,Саванна,,,
722597607076,Гдегдегде,,,
160548808448,Хижина в лесу,,,
362300472642,Берег реки в саванне,,,
797984509022,Центр Пантагрюэля,,,
580447225647,Трущобы Пантагрюэля,,,
149503142162,Окраины Пантагрюэля,,,
958129071008,Саванна,,,
535826827958,Саванна,,,
561867464607,Кам-Саван,,,
869149352694,Саванна,,,
179638259190,Кладбище Брокенхилл,,,
588901431087,Иль-Мора,,,
663273681789,Топи,,,
542953130301,Берег реки в джунглях,,,
256134986000,Проклятый лес,,,
464798113837,Укрытие Гиен,,,
514212765118,Проклятый лес,,,
421444477169,Берег в джунглях,,,
697092134355,Берег реки в джунглях,,,
954736904055,Лагерь беженцев,,,
750412214505,Саванна,,,
755793762628,Саванна,,,
746831907861,Побережье саванны,,,
544596907986,Болота,,,
251099843489,Эль Мора,,,
794687208333,Шале-де-ла-Пе,,,
433703198777,Проклятый лес,,,
612776379237,Кам-Шьен-Саваж,,,
278065061283,Берег реки в джунглях,,,
493913960829,Великий лес,,,
884980086575,Саванна,,,
300355091122,Саванна,,,
541857328963,Саванна,,,
242442320813,Ла-Палисад,,,
191576416065,Кот д'Азур,,,
260390996640,Мрачная деревня,,,
402575772484,Вассерграбское месторождение,,,
441551571400,Остров Бьян-Шьен,,,
297761234111,Болота,,,
130230429232,Берег реки в джунглях,,,
651098705600,Великий лес,,,
272495633070,Станция метро В,,,
932397913085,Старые укрепления,,,
798900424828,Бункер,,,
614227246678,Берег реки,,,
647441593762,Флитаунский блошиный рынок,,,
473242751429,Флитаунский район Ла-Буэ,,,
584766347441,Захоронения,,,
404334134277,Джунгли,,,
182607269744,Шахта Мфуму,,,
705677396519,Саванна,,,
741191269749,Перекресток,,,
221818809422,Саванна,,,
504394602813,Побережье саванны,,,
299323377959,Археологические раскопки,,,
788677023307,Грязноводный мост,,,
317461696416,Великий лес,,,
458949895555,Великий лес,,,
460717026135,Подземная лаборатория,,,
280630965085,Великий лес,,,
665104084642,Секретный туннель,,,
626691460597,Болотистый берег,,,
303504379957,Великий лес,,,
524504567636,Дорожный мост,,,
761775516206,Заброшенный особняк,,,
978845165648,Подвал особняка,,,
234271709521,Джунгли,,,
642649418249,Саванна,,,
812039020425,Побережье саванны,,,
844521108189,Форт Ло-Блё,,,
386088113625,Армейский Бункер,,,
549697085851,Бункер FB45-68,,,
141041612699,Жестянка,,,
173542934345,Деревня Эрни,,,
608872900457,Дорога на маяк,,,
701345923840,Дорога к маяку,,,
909162954508,Лечебница в маяке,,,
293068634640,Лагерь надежды,,,
613098814399,Болота,,,
816855262914,Станция метро С,,,
798506381727,Берег реки в джунглях,,,
641120547141,Минное поле,,,
425685949746,Болота,,,
958825928490,Болотные топи,,,
240546278957,Земли мертвых,,,
904326907181,Берег реки в джунглях,,,
737138748415,Великий лес,,,
697926662034,Берег реки в саванне,,,
279103202332,Подземная лаборатория,,,
683335127705,Римвилль,,,
997744145858,Поселение кладоискателей,,,
504402203656,Побережье саванны,,,
149201225676,Изумрудный берег,,,
679436731928,Аванпост контрабандистов,,,
336479618775,Фермы Эрни,,,
348743958741,Дорога в Эрни,,,
555133792190,Дикое место,,,
463695279475,Усадьбы-близнецы,,,
575031690071,Филер,,,
954201546673,Подвал санатория,,,
254047887407,Санаторий,,,
933477819234,Time to leave the perimeter,,,
316148597610,Берег реки,,,
234932279754,Остров Бьян-Шьен,,,
549994988586,Остров Бьян-Шьен,,,
837364987352,Кам-Бьян-Шьен,,,
881042435123,Развалины фабрики,,,
801967378182,Берег джунглей,,,
124799308713,Заброшенный скалистый берег,,,
484479696515,Запасной лагерь Контрабандистов,,,
828240037474,Походный лагерь Легиона,,,
185948484340,Флаговый холм,,,
839602336017,Походный лагерь Легиона,,,
849503984001,Фермы,,,
368904407254,Нет локации,,,
210475281605,Разбойничий форт,,,
995951843740,Underground Tunnel,,,
739270215925,Великий лес,,,
721531935723,Станция метро D,,,
209909493905,Кам-Ла-Барьер,,,
308732960633,Безликий,,,
896730749332,"Укреп ""Центровой""",,,
672915928785,Рыбацкая деревня,,,
767934028449,Заброшенный вход в бункер,,,
362916261613,Бункер партизан,,,
760738486642,Походный Лагерь Легиона,,,
193876396815,Походный лагерь Легиона,,,
890190423953,Походный лагерь Легиона,,,
733530482848,Непроходимая местность,,,
380204237490,База партизан на острове Эрни,,,
