sectorId,sheet_note,display_name,comment,mapName,Label1,City,WeatherZone,kind,has_moditem
A1,Саванна (Берег),,Саванна берег,rmmxFC,,,,authored,yes
A2,Саванна (Берег),,Саванна берег,PLg5q3T,,,,authored,yes
A3,Саванна (Берег),,Саванна берег,PYphSvk,,,,authored,yes
A4,Даймонд-Рэд,Diamond Red,Даймонд-Ред,UVhtJTG,Mine,,SavannahNorth,authored,yes
A5,,,,,,,,empty,no
A6,,,,,,,,empty,no
A7,,,,,,,,empty,no
A8,,,,,,,,empty,no
A9,А9 тоже горы и тоже без деталей,Highlands,Горы,KKzpYnk,,,,authored,yes
A10,,,,,,,,empty,no
A11,,,,,,,,empty,no
A12,А12 Горы (Пока без деталей),Highlands,Горы,UfXn5Ky,,,Highlands,authored,yes
A13,А13 Военный аванпост - Горный,Военный аванпост - Горный,,GWkvH6,,,,authored,yes
A14,,,,,,,,empty,no
A15,А15 Лагерь на холме (Тут пенитрируют Бифа),Hill Station,Тут дрючат бифа,onJGJze,,,Highlands,authored,yes
A16,,,,,,,,empty,no
A17,,,,,,,,empty,no
A18,,,,,,,,empty,no
A19,,,,,,,,empty,no
A20,,,,,,,,empty,no
A21,,,,,,,,empty,no
A22,,,,,,,,empty,no
A23,,,,,,,,empty,no
A24,А24 Горная дорога (Конь не валялся),,Горная дорога,f7ufzi,,,,authored,yes
A25,A25 Шахта Драхенберг,Drachenberg Mine,Шахта «Драхенберг»,fRXhJjS,Mine,Landsbach,Highlands,authored,yes
A26,А26 Лансбах Порт,Landsbach,Ландсбах,aVwVweE,City,Landsbach,Highlands,authored,yes
A27,Река (Обрыв Запад),,,,,,,sea_or_filler,no
A28,,,,,,,,empty,no
A29,,,,,,,,empty,no
A30,,,,,,,,empty,no
A31,,,,,,,,empty,no
A32,,,,,,,,empty,no
B1,Море,,,,,,,sea_or_filler,no
B2,Море,,,,,,,sea_or_filler,no
B3,Море,,,,,,,sea_or_filler,no
B4,Саванна (Берег),,Саванна берег,kQEvRTX,,,,authored,yes
B5,Саванна (Берег),,Саванна берег,HPLC7p,,,,authored,yes
B6,B6 Запланирован аванпост,,Аванпост_Пока нету,dic4Pz,,,,authored,yes
B7,B7 Пещера в Саванне,Savanna Cave,Пещера в саванне,idDivnV,,,SavannahNorth,authored,yes
B8,,,,,,,,empty,no
B9,,,,,,,,empty,no
B10,,,,,,,,empty,no
B11,B11 Горы (Бездетальные),Highlands,Горы,sVQSE5,,,Highlands,authored,yes
B12,,,,,,,,empty,no
B13,,,,,,,,empty,no
B14,,,,,,,,empty,no
B15,B15 Ферма Нигде,Middle of Nowhere,Нигде,kATGgxm,,,Highlands,authored,yes
B16,,,,,,,,empty,no
B17,B17 Санаторий,,Санаторий Лазурь,PKLpuCd,,,Highlands,authored,yes
B18,,,,,,,,empty,no
B19,,,,,,,,empty,no
B20,,,,,,,,empty,no
B21,,,,,,,,empty,no
B22,,,,,,,,empty,no
B23,,,,,,,,empty,no
B24,B24 Горная дорога (Конь не валялся),,Горная дорога,jHVi6rd,,,,authored,yes
B25,Река,,,,,,,sea_or_filler,no
B26,Река,,,,,,,sea_or_filler,no
B27,,,,,,,,empty,no
B28,B28 Орлиное гнездо,The Eagle's Nest,Орлиное гнездо,dsAs3ux,Outpost,,Barrens,authored,yes
B29,,,,,,,,empty,no
B30,,,,,,,,empty,no
B31,,,,,,,,empty,no
B32,,,,,,,,empty,no
C1,Море,,,,,,,sea_or_filler,no
C2,Море,,,,,,,sea_or_filler,no
C3,Чаячий остров,,Чаячий остров,pLjyyq5,,,,authored,yes
C4,"Острова, маленькие",Seagull Island,Чаячий остров,X4v4S7,,,,authored,yes
C5,,,,,,,,empty,no
C6,Саванна (Берег),Savanna Coast,Контрабандисты(Ниже даймонд рэд),pEfrj37,,,SavannahNorth,authored,yes
C7,С7 Саванна (Нужно уточнение!!!!),Savanna,Саванна,aoNitXa,,,SavannahNorth,authored,yes
C8,С8 Саванна (Нужно уточнение!!!!!!),Savanna,Саванна,PjNRUc7,,,SavannahNorth,authored,yes
C9,,,,,,,,empty,no
C10,,,,,,,,empty,no
C11,,,,,,,,empty,no
C12,С12 Пит-Стоп,The PitStop,Пит-стоп,uSeN6U,,,Highlands,authored,yes
C13,С13 Горы,Highlands,Горы,cSypFKz,,,Highlands,authored,yes
C14,С14 Старая бензоколонка,Old Gas Station,Старая бензоколонка,fM3uffW,,,Highlands,authored,yes
C15,"Филер, или нет, пока маленькое нихуя",,Филер,XeGztvo,,,,authored,yes
C16,,,,,,,,empty,no
C17,,,,,,,,empty,no
C18,,,,,,,,empty,no
C19,,,,,,,,empty,no
C20,,,,,,,,empty,no
C21,,,,,,,,empty,no
C22,С22 Пустоши,Barrens,Пустоши,uP4JNpT,,,Barrens,authored,yes
C23,С23 Пустоши,Barrens,Пустоши,mdV5qwe,,,Barrens,authored,yes
C24,С24 Перекресток дохлых зверей,Dead Animal Crossing,Перекресток Дохлых Зверей,ew4nkhg,,,Barrens,authored,yes
C25,С25 Пустоши,,,,,,,sheet_only,no
C26,Река,Clifftop Overlook,Вершина скалы,3vhEUg,,,Barrens,authored,yes
C27,Вершина скалы (лифт; в sheet помечено как C26),Highlands,,nyAYoYY,,,,authored,yes
C28,,,,buta66w,,,,runtime_only,yes
C29,,Barrens,Пустоши,SexCTTP,,,Barrens,runtime_only,yes
