sectorId,sheet_note
A1,Саванна (Берег)
A2,Саванна (Берег)
A3,Саванна (Берег)
A4,Даймонд-Рэд
A9,А9 тоже горы и тоже без деталей
A12,А12 Горы (Пока без деталей)
A13,А13 Военный аванпост - Горный
A15,А15 Лагерь на холме (Тут пенитрируют Бифа)
A24,А24 Горная дорога (Конь не валялся)
A25,A25 Шахта Драхенберг
A26,А26 Лансбах Порт
A27,Река (Обрыв Запад)
B1,Море
B2,Море
B3,Море
B4,Саванна (Берег)
B5,Саванна (Берег)
B6,B6 Запланирован аванпост
B7,B7 Пещера в Саванне
B11,B11 Горы (Бездетальные)
B15,B15 Ферма Нигде
B17,B17 Санаторий
B24,B24 Горная дорога (Конь не валялся)
B25,Река
B26,Река
B28,B28 Орлиное гнездо
C1,Море
C2,Море
C3,Чаячий остров
C4,"Острова, маленькие"
C6,Саванна (Берег)
C7,С7 Саванна (Нужно уточнение!!!!)
C8,С8 Саванна (Нужно уточнение!!!!!!)
C12,С12 Пит-Стоп
C13,С13 Горы
C14,С14 Старая бензоколонка
C15,"Филер, или нет, пока маленькое нихуя"
C22,С22 Пустоши
C23,С23 Пустоши
C24,С24 Перекресток дохлых зверей
C25,С25 Пустоши
C26,Река
C27,Вершина скалы (лифт; в sheet помечено как C26)
D1,Море
D2,Море
D6,Море
D7,Саванна (Берег)
D9,D9 Лагерь Браконьеров
D15,D15 Шахта Фосс-Нуар
D22,D22 Разлом (Аванпост)
D23,D23 Оазис
D25,Река
D26,D26 каменные ступени
D27,D27 Штурмвассерский каньон
D29,D29 Остров ШтурмВассер
E1,Море
E2,Море
E4,E4 Чаячий остров
E6,Море
E7,Море
E8,E8 Кладбище брокеннхилл
E9,E9 Саванна (Нужно уточнение)
E10,E10 Аванпост Кам-саван
E11,E11 Саванна (Устроить пожар)
E12,E12 Саванна (Заложница по квесту из лагеря беженцев)
E13,Саванна переходная в зеленку
E14,Е14 Окраины Понтагрюэля
E15,Е15 Трущебы Понтагрюэля
E16,Е16 Центр Понтагрюэля
E25,Река
E26,E26 Берег реки в джунглях
F1,Море
F2,Море
F3,Море
F4,Море
F5,Море
F6,Море
F7,Море
F8,F8 Побережье саванны
F9,"F9 Саванна (Рюкзаки, следы присутствия MERC)"
F10,F10 Саванна (Устроить пожар)
F11,F11 Саванна (Устроить пожар)
F12,F12 Саванна
F13,F13 Лагерь Беженцев
F17,F17 Берег реки в джунглях
F19,F19 Берег в джунглях
F20,F20 Укрытие Гиен (Нужно уточнение)
F21,F21 Укрытие Гиен
F22,F22 Проклятый лес (Хижина ведьмы)
F23,F23 Кам-Гран-При (Аванпост)
F24,F24 В планах ещё бензоколонка
F25,F25 Берег реки в джунглях (водный путь)
F26,Река
F28,F28 Иль-Мора
G1,Море
G2,Море
G3,Море
G4,Море
G5,Море
G6,Море
G7,Море
G8,Море
G9,G9 Код д азур (Порт)
G10,G10 Поселение Ла-Палисад
G11,G11 Саванна (Два трупа из квеста охота на охотника)
G13,G13 Колодец
G15,G15 Берег реки в джунглях
G16,G16 Минное поле
G17,G17 Великий лес (Вудуисты)
G18,G18 Берег реки в джунглях
G22,G22 Кам-Съен_Саваж (Аванпост с гиенами)
G23,G23 Проклятый лес
G25,G25
G26,Река
G27,G27 Шале-Де-ла-Пе (Деревня вудуистов)
G28,G28 Филер (Пока пусто)
G30,G30 Эль-Мора
G31,G31 Болота
H1,Море
H2,Море
H3,Море
H4,Море
H5,Море
H6,Море
H7,Море
H8,Море
H9,Море
H10,Саванна (Берег)
H14,H14 Шахта Мфуму
H15,H15 начало зеленки (Джунглей) (переделать в мелкое поселение)
H17,Н17 Захоронения
H18,Н18 Флитаун рынок
H19,H19 Флитаун (Порт)
H21,Н21 Берег Реки
H22,Н22 Старые укрепления с бункером
H23,H23 Пещера с фашней / опер штаб наземный
H24,H24 Берег реки в джунглях
H25,Н25 река
H26,Река
H27,"Н27 ТЗ Болота, нет локации"
H31,H31 Вассерграб (Шахта)
H32,H32 Вассерграб (Мрачная деревня)
I1,Море
I2,"I2 Жилье доктора, Бывшие военные укрепления"
I3,I3 Мост в нижней части карты (Дорога) над рекой
I4,I4 Филер (Дорога Эрни-Мост) над обрывом
I5,I5 Деревня Эрни (Берег)
I6,I6 Жестянка
I7,I7 Форт Ло-Блё
I8,Море
I9,Море
I10,Море
I11,Саванна (Берег)
I16,I16 Заброшенный особняк (призрак)
I22,"I22 Дом на холме, секретный вход в метро"
I23,I23 Великий лес
I24,Река
I25,I25 Грязноводный мост (Город)
I31,I31 Хижина ведьмы
J1,Море
J2,Море
J3,Море
J4,J4 Дорога из J5 в I4
J5,J5 Деревня эрни без берега (Фермы)
J6,J6 Дорога контрабандистов
J7,J7 Изумрудный берег
J8,Море
J9,Море
J10,Море
J11,Море
J12,J12 Саванна (Берег-Порт) (Укреп район)
J13,"J13 Деревня с золотодобычей, дома на сваях"
J14,J14 Римвиль (Особняк бандосов)
J15,J15 Берег реки
J16,Зеленка
J17,Зеленка (Маленькая река)
J18,Зеленка
J19,Зеленка (Берег реки на углу)
J23,J23 Старое кладбище
J24,Река
J25,Река
J28,J28 Болота с входом в метро
J29,J29 Лагерь надежды
K1,Море
K2,Море
K3,K3 Походный Лагерь Легиона 1
K4,K4 Флаговый холм
K5,K5 Походный Лагерь Легиона 5
K6,K6 Резервный лагерь Контрабандистов
K7,"K7 Заброшенный скалистый берег, сожженная деревня"
K8,Море
K9,Море
K10,Море
K11,Река
K12,Река
K13,Река
K14,Река
K15,K15 T Река ниже берег джунглей
K19,K19 Аванпост Развалины фабрики
K20,Река
K21,К21 Кам Бьян Шьен
K24,"К24 Берег, пустая лока"
K25,Река уходит вверх
K29,К29 Санаторий
K32,К32 Усадьбы близнецы
L1,L1 Лагерь повстанцев
L2,L2 Гора с водопадом и оттоками
L3,L3 Походный Лагерь Легиона 2
L4,L4 Походный Лагерь Легиона 3
L5,L5 Походный Лагерь Легиона 4
L6,L6 Бункер
L7,"L7 Деревня на берегу, не большая"
L8,Море
L9,Море
L10,Море
L11,L11 Остров с укреплениями
L12,L12 Река
L13,L13 Ещё один остров с укреплением
L14,L14 Река
L15,L15 Кам-Ла-Барьер
L16,L16 Великий лес
L17,L17 Разбойничий форт
L19,L19 Т речные островки (Локации нет)
L20,Река
L21,Река
L22,Река
L23,Река
L24,L24 Река
L25,Река
L31,L31 Фермы
M1,M1 Зона высадки
M2,М2 Водопад
M3,М3 Побережье
M4,М4 Смотровая площадка
M5,"М5 Заброс, скалы"
M6,"М6 Заброс, скалы"
M7,Заглушка
M8,Море
M9,Море
M10,Море
M11,Река
M12,Река
M13,Река
M14,Река
M15,Река
M16,Река
M17,Река
M18,Река
M19,Река
M20,Река
M21,Река
M22,Река
M23,Река
M24,M24 Тут должен быть какой-то порт - дамба
M31,M31 Фермы
N1,Море
N2,Море
N3,Море
N4,Море
N5,Море
N6,Море
N7,Море
N8,Море
N9,Море
N10,Море
N11,N11 укреп смотрящий за входом в реку
N12,N12 Порт Какао город
N13,N13 Доки порт Какао
N14,N14 ТС
N15,N15 ТС
N16,N16 (ТС) Упавший самолет (Лаз в разбойничий форт)
N17,N17 Река
N18,N18 Река
N19,N19 Река
N20,Река
N21,Река
N22,N22 Причал
N23,N23 Старое кладбище
N24,N24 Фермы
N27,N27 Фермы
N28,N28 Фермы
N29,N29 Фермы
N30,N30 Фермы
N31,N31 Фермы
O1,Море
O2,Море
O3,Море
O4,Море
O5,Море
O6,Море
O7,Море
O8,Море
O9,Море
O10,О10 Филер
O11,О11 Великий лес берег (Фермы)
O13,O13 Свалка
O14,О14 Филер (Лес)
O16,О16 Олд-Даймонд
O17,О17 Филер (Лес)
O18,O18 Часть моста левая
O21,О21 Великий лес (Берег)
P1,Море
P2,Море
P3,Море
P4,Море
P5,Море
P6,Море
P7,Море
P8,P8 Хорошее место
P9,Р9 Берег рядом с тюрьмой
P11,Р11 Великий лес (Убежище богача из заброшенного особняка)
P15,Р15 Лес
P16,Р16 гдегдевезде
P17,Р17 Камп-де-крокодиль (Аванпост)
P19,Р19 Заброшенный аэродром
P26,P26 Военная База - ЮГ
